id,"name","name.cn","project_group","type","git_url","branch_dev","branch_test","branch_uat","branch_pro","jar_dev","jar_test","jar_uat","jar_pro","mem_dev","mem_test","mem_uat","mem_pro"
1,"bu-boss",NULL,"store","java","git@git.lianchuanghj.com:estore/bu-platform.git","daodian-dev1.3","alpha","beta","beta","bu-manager-boss-1.0.0-SNAPSHOT.jar","bu-manager-boss-1.0.0-SNAPSHOT.jar","bu-manager-boss-1.0.0-SNAPSHOT.jar","bu-manager-boss-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
2,"bu-supplier",NULL,"store","java","git@git.lianchuanghj.com:estore/bu-platform.git","daodian-dev1.3","alpha","beta","beta","bu-manager-supplier-1.0.0-SNAPSHOT.jar","bu-manager-supplier-1.0.0-SNAPSHOT.jar","bu-manager-supplier-1.0.0-SNAPSHOT.jar","bu-manager-supplier-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
3,"bu-service",NULL,"store","java","git@git.lianchuanghj.com:estore/bu-platform.git","daodian-dev1.3","alpha","beta","beta","bu-service-app-1.0.0-SNAPSHOT.jar","bu-service-app-1.0.0-SNAPSHOT.jar","bu-service-app-1.0.0-SNAPSHOT.jar","bu-service-app-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
4,"bu-mobile",NULL,"store","java","git@git.lianchuanghj.com:estore/bu-platform.git","daodian-dev1.3","alpha","beta","beta","bu-web-mobile-1.0.0-SNAPSHOT.jar","bu-web-mobile-1.0.0-SNAPSHOT.jar","bu-web-mobile-1.0.0-SNAPSHOT.jar","bu-web-mobile-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
5,"sbc-service-setting",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-service-setting.git","daodian-dev1.3","alpha","beta","beta","service-setting-app-mp-4.1.3-SNAPSHOT.jar","service-setting-app-mp-4.1.3-SNAPSHOT.jar","service-setting-app-mp-4.1.3-SNAPSHOT.jar","service-setting-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
6,"sbc-service-customer",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-service-customer.git","daodian-dev1.3","alpha","beta","beta","service-customer-app-mp-4.1.3-SNAPSHOT.jar","service-customer-app-mp-4.1.3-SNAPSHOT.jar","service-customer-app-mp-4.1.3-SNAPSHOT.jar","service-customer-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
7,"sbc-service-goods",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-service-goods.git","daodian-dev1.3","alpha","beta","beta","service-goods-app-mp-4.1.3-SNAPSHOT.jar","service-goods-app-mp-4.1.3-SNAPSHOT.jar","service-goods-app-mp-4.1.3-SNAPSHOT.jar","service-goods-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
8,"sbc-service-marketing",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-service-marketing.git","daodian-dev1.3","alpha","beta","beta","service-marketing-app-mp-4.1.3-SNAPSHOT.jar","service-marketing-app-mp-4.1.3-SNAPSHOT.jar","service-marketing-app-mp-4.1.3-SNAPSHOT.jar","service-marketing-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
9,"sbc-service-message",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-service-message.git","daodian-dev1.3","alpha","beta","beta","service-message-app-mp-4.1.3-SNAPSHOT.jar","service-message-app-mp-4.1.3-SNAPSHOT.jar","service-message-app-mp-4.1.3-SNAPSHOT.jar","service-message-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
10,"sbc-service-order",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-service-order.git","daodian-dev1.3","alpha","beta","beta","service-order-app-mp-4.1.3-SNAPSHOT.jar","service-order-app-mp-4.1.3-SNAPSHOT.jar","service-order-app-mp-4.1.3-SNAPSHOT.jar","service-order-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
11,"sbc-service-account",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-service-account.git","daodian-dev1.3","alpha","beta","beta","service-account-app-mp-4.1.3-SNAPSHOT.jar","service-account-app-mp-4.1.3-SNAPSHOT.jar","service-account-app-mp-4.1.3-SNAPSHOT.jar","service-account-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
12,"sbc-service-pay",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-service-pay.git","daodian-dev1.3","alpha","beta","beta","service-pay-app-mp-4.1.3-SNAPSHOT.jar","service-pay-app-mp-4.1.3-SNAPSHOT.jar","service-pay-app-mp-4.1.3-SNAPSHOT.jar","service-pay-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
13,"sbc-service-third",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-service-third.git","daodian-dev1.3","alpha","beta","beta","service-third-app-mp-4.1.3-SNAPSHOT.jar","service-third-app-mp-4.1.3-SNAPSHOT.jar","service-third-app-mp-4.1.3-SNAPSHOT.jar","service-third-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
14,"sbc-boss",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-platform.git","daodian-dev1.3","alpha","beta","beta","bff-manager-s2b-boss-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-boss-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-boss-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-boss-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
15,"sbc-supplier",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-platform.git","daodian-dev1.3","alpha","beta","beta","bff-manager-s2b-supplier-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-supplier-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-supplier-mp-4.1.3-SNAPSHOT.jar","bff-manager-s2b-supplier-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
16,"sbc-mobile",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-platform.git","daodian-dev1.3","alpha","beta","beta","bff-web-2b-mobile-mp-4.1.3-SNAPSHOT.jar","bff-web-2b-mobile-mp-4.1.3-SNAPSHOT.jar","bff-web-2b-mobile-mp-4.1.3-SNAPSHOT.jar","bff-web-2b-mobile-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
17,"dd-h5",NULL,"store","node","git@git.lianchuanghj.com:estore/dd-h5.git","dev1.1","dev1.1","dev1.1","dev1.1",NULL,NULL,NULL,NULL,"512","512","1024","1024"
18,"dd-supplier",NULL,"store","node","git@git.lianchuanghj.com:estore/dd-supplier.git","stdev","sttest","stpre","stpro",NULL,NULL,NULL,NULL,"512","512","1024","1024"
19,"dd-boss",NULL,"store","node","git@git.lianchuanghj.com:estore/dd-boss.git","stdev","sttest","stpre","stpro",NULL,NULL,NULL,NULL,"512","512","1024","1024"
20,"gateway",NULL,"store","java","git@git.lianchuanghj.com:eshop/gateway.git","dev1.3","alpha","beta","beta","gateway-1.0.0-SNAPSHOT.jar","gateway-1.0.0-SNAPSHOT.jar","gateway-1.0.0-SNAPSHOT.jar","gateway-1.0.0-SNAPSHOT.jar","1024","1024","2048","2048"
21,"sbc-service-ares",NULL,"store","java","git@git.lianchuanghj.com:eshop/ares.git","daodian-dev1.3","alpha","beta","beta","ares-app-mp-4.1.3-SNAPSHOT.jar","ares-app-mp-4.1.3-SNAPSHOT.jar","ares-app-mp-4.1.3-SNAPSHOT.jar","ares-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
22,"dd-h5refactor",NULL,"store","node","git@git.lianchuanghj.com:estore/dd-h5refactor.git","dev","alpha","beta","beta",NULL,NULL,NULL,NULL,"512","512","1024","1024"
23,"sbc-service-es",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-service-es.git","daodian-dev1.3",NULL,NULL,NULL,"service-es-mp-4.1.3-SNAPSHOT.jar","service-es-mp-4.1.3-SNAPSHOT.jar","service-es-mp-4.1.3-SNAPSHOT.jar","service-es-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
24,"sbc-service-common",NULL,"store","java","git@git.lianchuanghj.com:eshop/sbc-service-common.git","daodian-dev1.3",NULL,NULL,NULL,"service-common-mp-4.1.3-SNAPSHOT.jar","service-common-mp-4.1.3-SNAPSHOT.jar","service-common-mp-4.1.3-SNAPSHOT.jar","service-common-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
25,"sbc-service-setting",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-service-setting.git","dev1.3","alpha","beta","beta","service-setting-app-mp-4.1.3-SNAPSHOT.jar","service-setting-app-mp-4.1.3-ALPHA.jar","service-setting-app-mp-4.1.3-SNAPSHOT.jar","service-setting-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
26,"sbc-service-customer",NULL,"mp","java","git@git.lianchuanghj.com:eshop/sbc-service-customer.git","dev1.3","alpha","beta","beta","service-customer-app-mp-4.1.3-SNAPSHOT.jar","service-customer-app-mp-4.1.3-ALPHA.jar","service-customer-app-mp-4.1.3-SNAPSHOT.jar","service-customer-app-mp-4.1.3-SNAPSHOT.jar","1024","1024","2048","2048"
